c MST generated by Kruskal's Algorithm using Quick Sort
g 20000 19999
e 15625 19140 1
e 4076 16158 1
e 3572 5141 1
e 8857 14812 1
e 882 18147 1
e 1963 19676 1
e 12886 18741 1
e 2928 19183 3
e 2605 17724 3
e 13094 17623 3
e 4964 8493 4
e 2562 2747 4
e 924 2090 4
e 442 9057 4
e 8435 16748 5
e 190 12282 6
e 2227 15465 6
e 798 10569 7
e 8254 16221 7
e 11170 17729 7
e 4644 14261 9
e 12843 12973 9
e 9344 17606 9
e 2938 6638 10
e 9565 12946 10
e 1205 14579 11
e 1345 14283 11
e 2085 17978 11
e 6958 11728 12
e 1603 13460 12
e 10890 11633 13
e 3508 12515 13
e 430 1280 14
e 15985 19924 14
e 4328 15612 15
e 1410 19478 15
e 9320 10371 15
e 4763 6231 16
e 5975 8162 16
e 1494 16363 16
e 4598 13291 16
e 9340 17726 17
e 3998 14218 18
e 176 6259 18
e 62 6143 18
e 15024 17795 18
e 15457 17894 19
e 7608 14271 19
e 11852 12603 20
e 11782 17098 20
e 10403 10751 21
e 1595 12314 21
e 12178 12569 21
e 12085 15934 21
e 9256 10982 22
e 6897 14805 22
e 2832 19927 22
e 6951 11293 22
e 6604 7890 23
e 11781 18523 23
e 10003 18683 24
e 2427 9829 24
e 4146 10415 25
e 2953 3047 25
e 278 341 25
e 1970 11869 25
e 18394 18904 26
e 348 10470 26
e 2334 3354 26
e 7656 16799 26
e 10087 15730 26
e 5 6061 27
e 277 17323 27
e 4701 14608 27
e 2057 15141 28
e 2393 3149 28
e 6116 13137 29
e 735 859 29
e 9211 19908 29
e 13245 17356 29
e 4616 10871 29
e 14803 18421 29
e 1730 16221 30
e 14698 19845 30
e 3425 9903 30
e 4431 12027 30
e 4523 6903 31
e 9175 16342 31
e 11491 14823 32
e 691 7685 32
e 4488 14593 32
e 8803 8833 32
e 4634 13199 33
e 2298 3226 33
e 1077 13301 34
e 1370 2766 35
e 3298 8728 36
e 14220 18534 37
e 3642 5098 37
e 192 13310 37
e 8010 13570 38
e 222 4245 38
e 736 7719 38
e 17427 17858 38
e 7374 15066 39
e 2393 4023 39
e 4267 13264 39
e 6528 14436 39
e 2963 9492 40
e 367 12522 40
e 736 8941 40
e 4757 18087 40
e 5186 8383 40
e 16129 16512 41
e 17013 18533 41
e 707 3604 41
e 12324 14561 42
e 9206 14682 42
e 688 12939 42
e 4901 10145 43
e 9025 11798 44
