c MST generated by Kruskal's Algorithm using Quick Sort
e 15597 35103 61
e 889 2279 61
e 19469 29339 62
e 790 8662 62
e 10641 20895 62
e 16359 33691 62
e 9886 31159 63
e 19923 38232 63
e 16099 27550 63
e 321 769 63
e 27637 28714 63
e 1934 2246 63
e 119 905 63
e 5202 24760 64
e 667 940 64
e 18884 34147 64
e 3386 3595 64
e 12327 15313 64
e 10641 34789 65
e 7208 9805 65
e 5287 28938 65
e 2533 3766 65
e 1404 27620 66
e 19112 27466 66
e 8796 19974 66
e 349 21403 66
e 29398 36480 66
e 11203 13391 66
e 7191 17771 66
e 18141 18496 67
e 12399 13980 67
e 11749 13608 67
e 3636 21686 67
e 12478 21249 67
e 5842 16201 68
e 38395 39460 68
e 28199 37812 68
e 27975 35307 68
e 13965 24215 68
e 2642 33200 69
e 3076 38271 69
e 28284 32775 69
e 1116 2010 69
e 5915 12859 70
e 7817 21298 70
e 1726 5835 70
e 8895 37459 70
e 3937 26509 70
e 12063 14240 71
e 9470 17551 71
e 24984 37228 72
e 941 7649 72
e 9876 12856 72
e 19278 36201 72
e 22828 30961 73
e 2104 8588 73
e 4960 7579 73
e 1742 9735 73
e 2159 3605 73
e 26977 28026 74
e 942 2972 74
e 11784 18290 74
e 8680 24989 74
e 3607 21337 74
e 14524 30035 74
e 22196 34279 74
e 26188 35365 74
e 16537 38548 75
e 8150 25604 75
e 16210 16667 76
e 14731 27611 76
e 23554 39184 76
e 5668 5805 76
e 12 2444 77
e 8108 32424 77
e 20683 26532 77
e 9210 21151 78
e 16591 38464 78
e 23980 32240 78
e 5160 13927 78
e 6241 16951 79
e 26343 29651 79
e 4700 19838 79
e 3141 10391 79
e 21120 30144 80
e 32126 38046 80
e 5036 27528 80
e 10460 24611 81
e 17263 17625 81
e 542 24880 82
e 21692 23892 82
e 5336 34369 82
e 843 7515 82
e 29064 34784 83
e 16908 19265 83
e 12293 13506 83
e 9179 19344 83
e 5370 32949 84
e 7834 12241 84
e 32329 38256 84
e 1491 2421 84
e 141 3904 84
e 15887 38429 84
e 34329 36124 85
e 12919 37445 85
e 7877 19181 85
e 21907 30276 86
e 1846 2028 86
e 85 3577 86
e 934 2784 86
e 26669 30868 86
e 25229 34926 87
e 15417 22437 87
e 20331 33132 87
e 12366 26844 87
e 6535 37994 88
e 19104 28872 88
e 260 23032 88
e 8411 8694 88
e 10770 21481 88
e 1137 1865 89
e 21244 26636 89
e 5197 10736 89
e 25774 32705 90
e 19734 38594 90
e 1866 26181 90
e 12734 21791 90
e 10131 20104 90
e 3600 22810 90
e 3847 22137 91
e 15586 23769 91
e 15444 18038 91
e 19508 25395 91
e 5694 11277 91
e 20277 37283 91
e 2294 39004 92
e 3552 7668 92
e 1929 22952 92
e 16176 26271 93
e 26982 30800 93
e 10412 16057 93
e 17917 20540 93
e 9513 9595 94
e 10459 28599 94
e 3873 7876 94
e 5188 11311 94
e 7558 10314 95
e 9137 17723 95
e 322 29780 96
e 3307 23371 96
e 10645 17749 96
e 474 883 96
e 1353 29916 96
e 8418 10293 96
e 9997 13438 96
e 5243 13002 97
e 4269 13247 98
e 3756 35209 98
e 8388 18863 98
e 2164 6615 98
e 12199 34309 98
e 23338 23349 99
e 4848 6756 99
e 5550 20295 99
e 23370 36120 99
e 5336 18925 99
e 17976 26079 100
e 7916 15108 100
e 5307 22292 101
e 3252 15700 101
e 2567 2980 101
e 1148 1538 101
e 22336 30257 101
e 5294 20795 102
e 606 1387 102
e 17463 32957 102
e 17381 20602 102
e 2579 17004 103
e 3704 26257 103
e 1564 29066 103
e 8453 16783 103
e 5292 14568 104
e 229 28695 104
e 29220 37140 104
e 19921 22044 104
e 21056 24960 104
e 9934 33682 104
e 2599 29198 104
e 8059 26183 105
e 1703 14532 105
e 2971 12129 105
e 21096 25744 105
e 17240 36591 105
e 18071 19783 105
e 17577 29560 105
e 8008 9330 106
e 11439 24888 106
e 20231 29896 106
e 5380 7428 107
e 23418 35134 108
e 30514 36990 108
e 1977 3641 108
e 5270 20737 108
e 12862 31079 108
e 9440 11415 108
e 2321 39279 109
e 29586 37005 109
e 10767 24500 110
e 2670 39140 110
e 18722 21476 110
e 24025 25532 110
e 3699 14228 110
e 1451 31070 111
e 35433 36936 111
e 6031 38987 111
e 3828 12067 111
e 23523 36824 111
e 19522 31453 112
e 23583 32006 112
e 4878 33875 112
e 32856 34005 112
e 9248 28882 112
e 15773 27942 112
e 33023 38120 113
e 10291 14242 113
e 4602 35898 113
e 363 13334 113
e 24749 35379 113
e 426 10305 114
e 8583 9349 114
e 1453 1962 115
e 8985 26273 115
e 12545 20469 115
e 10755 26245 116
e 10255 37470 116
e 135 266 116
e 28357 31700 116
e 21479 30505 116
e 15137 31423 117
e 1780 21439 117
e 19824 36251 117
e 14192 16849 117
e 3347 4694 117
e 897 31193 118
e 11099 14741 118
e 14794 29667 118
e 4110 19595 118
e 14966 36054 119
e 378 2884 119
e 20424 28094 119
e 17345 35129 119
e 7442 23383 119
e 33771 34641 119
e 23403 28753 120
e 25257 25288 120
e 11008 15736 120
e 29665 30667 120
e 25653 38618 121
e 5425 32026 121
e 9202 11276 122
e 183 4791 122
e 9857 21619 123
e 20537 39282 123
e 20334 26888 123
e 15996 23204 123
e 15979 36659 123
e 507 7263 123
e 17265 26772 123
e 2190 4969 123
e 18100 39171 123
e 4781 6601 123
e 4758 38554 123
e 4373 13825 123
e 17142 17545 124
e 2165 10089 124
e 3971 4742 124
e 5057 31190 124
e 14171 34757 125
e 866 30088 125
e 19272 37747 125
e 25300 37351 125
e 3007 37056 125
e 21791 35575 126
e 4050 19085 126
e 2601 16780 126
e 2393 27952 126
e 10098 11052 126
e 21400 25537 126
e 12935 29014 126
e 7036 21643 127
e 1280 1480 127
e 14032 39938 127
e 23929 27943 128
e 27023 29597 128
e 33069 35669 128
e 13598 20980 128
e 23986 32012 128
e 2684 12829 128
e 17105 23908 129
e 14923 21657 129
e 16909 30712 129
e 29353 38972 129
e 22748 28730 129
e 8248 31467 130
e 1264 30007 130
e 22045 31498 130
e 21807 26651 130
e 12530 16227 130
e 17107 27391 131
e 637 28630 131
e 10592 24378 131
e 16631 33199 131
e 1939 11678 131
e 5098 29904 131
e 22966 25525 132
e 20470 38665 132
e 4650 37599 132
e 7765 8730 132
e 343 30210 132
e 7128 37015 133
e 8203 10483 133
e 29248 34688 133
e 3925 30957 133
e 10951 24635 133
e 20808 29833 134
e 27297 33609 134
e 16048 32224 134
e 13850 16365 134
e 17703 22878 135
e 2303 20567 135
e 11145 33769 135
e 24025 38660 135
e 9542 27559 136
e 1645 33422 136
e 9245 16741 136
e 136 930 137
e 23982 38734 137
e 13126 34477 137
e 12386 28187 137
e 26173 38848 137
e 29783 30732 137
e 707 8716 139
e 6354 12911 139
e 22171 24578 139
e 5200 30771 140
e 8883 38728 140
e 1875 14023 140
e 11216 30765 140
e 26977 31670 140
e 19964 25517 141
e 12685 21900 141
e 17172 17398 141
e 15998 20588 141
e 15548 25732 141
e 9381 10858 141
e 11135 37145 141
e 8077 28884 141
e 30429 33436 141
e 21174 23590 142
e 12500 14908 142
e 22191 35111 142
e 13074 15721 142
e 13099 16773 142
e 2458 36951 143
e 9544 34872 143
e 4513 6126 143
e 612 22399 143
e 21816 36811 143
e 32206 37148 143
e 8674 38803 143
e 1137 36544 143
e 7249 15223 144
e 22202 22493 145
e 35557 39906 145
e 4314 5192 145
e 14249 21334 145
e 12118 14443 145
e 9988 26569 146
e 18255 19442 146
e 1682 22860 146
e 9307 31981 146
e 6283 30409 146
e 15133 17491 146
