c MST generated by Kruskal's Algorithm using Quick Sort
g 10000 9999
e 1884 3199 2
e 3098 3304 2
e 8133 8984 2
e 20 8311 3
e 1629 9575 3
e 924 2090 4
e 4964 8493 4
e 1126 3528 8
e 338 801 9
e 2938 6638 10
e 3231 7199 12
e 430 1280 14
e 1059 3484 15
e 5545 5701 15
e 4763 6231 16
e 5975 8162 16
e 2694 4946 18
e 176 6259 18
e 1069 7467 22
e 6604 7890 23
e 1781 8523 23
e 2427 9829 24
e 1869 1970 25
e 2953 3047 25
e 278 341 25
e 2552 5930 26
e 2334 3354 26
e 2057 5141 28
e 2393 3149 28
e 735 859 29
e 4698 9845 30
e 3425 9903 30
e 131 9636 35
e 192 3310 37
e 222 4245 38
e 2393 4023 39
e 4757 8087 40
e 2963 9492 40
e 736 8941 40
e 7256 8340 40
e 707 3604 41
e 7013 8533 41
e 653 6249 41
e 4783 7224 42
e 1999 4189 44
e 6124 8234 44
e 820 5541 44
e 212 4117 45
e 1460 7191 46
e 2565 4346 46
e 2956 8777 47
e 3704 4981 47
e 4719 6052 48
e 5327 6437 49
e 7260 8870 50
e 2071 4747 51
e 282 9165 52
e 2983 6954 53
e 6165 7892 53
e 6498 9013 54
e 1746 7367 54
e 6912 7409 54
e 1947 7184 55
e 3717 4127 55
e 4892 9637 56
e 3402 3939 56
e 255 912 57
e 4137 8173 57
e 6178 6430 58
e 3043 5177 59
e 4725 5710 59
e 8057 8466 60
e 4440 7401 60
e 5843 7874 61
e 889 2279 61
e 2825 7157 61
e 641 895 62
e 321 769 63
e 156 4337 63
e 119 905 63
e 1934 2246 63
e 667 940 64
e 3386 3595 64
e 2280 7333 65
e 7208 9805 65
e 83 4961 65
e 2533 3766 65
e 5509 9535 66
e 1726 5835 70
e 7459 8895 70
e 941 7649 72
e 4199 6174 73
e 4960 7579 73
e 2159 3605 73
e 7170 9790 74
e 35 4524 74
e 5668 5805 76
e 875 5440 76
e 12 2444 77
e 7409 8497 77
e 6591 8464 78
e 7187 9193 79
e 4527 7746 80
e 3219 7914 81
e 4003 9028 81
e 843 7515 82
e 2522 6540 84
e 4239 7228 84
e 1491 2421 84
e 1846 2028 86
e 934 2784 86
e 85 3577 86
e 1137 1865 89
e 2705 5774 90
e 5161 7658 90
e 3769 5586 91
e 3552 7668 92
e 1917 9005 93
e 2024 8600 93
e 6240 8539 94
e 3873 7876 94
e 4519 5570 95
e 2503 7759 95
e 474 883 96
e 3002 5243 97
e 3031 3640 98
e 455 9541 101
e 1148 1538 101
e 1499 5805 102
e 606 1387 102
e 877 6202 106
e 65 928 106
e 5914 7436 106
e 8008 9330 106
e 1893 4826 107
e 1134 8918 108
e 4316 6052 108
e 1977 3641 108
e 1365 5152 109
e 2221 9758 109
e 5924 8816 110
e 6013 6392 113
e 8583 9349 114
e 1221 2802 114
e 1453 1962 115
e 2996 8918 115
e 135 266 116
e 2764 3703 117
e 3347 4694 117
e 5058 7092 117
e 378 2884 119
e 9061 9543 121
e 4825 8505 122
e 2190 4969 123
e 4781 6601 123
e 8100 9171 123
e 1069 8301 124
e 3971 4742 124
e 6589 7347 125
e 227 6124 126
e 6347 6806 126
e 3720 4465 126
e 4577 6747 126
e 1280 1480 127
e 2266 6337 127
e 3659 4919 128
e 538 6110 128
e 2109 7731 129
e 7 1264 130
e 7765 8730 132
e 5321 9977 133
e 2518 6156 134
e 2323 7633 135
e 266 7335 135
e 1645 3422 136
e 1024 2642 136
e 136 930 137
e 707 8716 139
e 1059 5015 139
e 2432 9048 140
e 3125 5151 141
e 150 7156 141
e 2500 4908 142
e 2776 3187 143
e 330 3798 145
e 2728 7046 145
e 4314 5192 145
e 6083 7827 146
e 2695 7131 146
e 1443 9176 147
e 3476 9700 147
e 1228 8799 148
e 57 792 150
e 3249 5873 151
e 3523 9386 152
e 1100 8612 152
e 6701 8024 152
e 1595 2860 152
e 372 1596 153
e 8779 9124 154
e 2394 9754 155
e 172 3560 157
e 3131 8654 157
e 5205 8674 161
e 678 6125 161
e 2714 8407 162
e 3804 7324 162
e 2567 5833 163
e 1467 4565 164
e 4033 9601 164
e 1006 1255 165
e 371 5985 167
e 362 6249 167
e 5068 8629 167
e 4813 5283 167
e 1340 1405 168
e 620 2951 170
e 1966 3202 170
e 4099 5151 171
e 2701 6589 172
e 4760 6967 175
e 4473 6278 176
e 1486 7969 176
e 795 2605 177
e 2020 8450 177
e 555 4965 177
e 3551 6665 178
e 285 2879 179
e 6740 7403 179
e 6478 9190 180
e 6412 7879 180
e 3308 3579 180
e 2772 6546 181
e 4783 6554 182
e 4191 6281 182
e 2882 4967 184
e 7840 9911 184
e 4980 5529 186
e 6899 9454 186
e 4587 8194 187
e 7530 8062 191
e 6978 9117 193
e 8709 9161 193
e 6611 8109 196
e 326 1638 198
e 1475 7605 199
e 680 848 199
e 308 4889 200
e 203 204 200
e 763 1327 203
e 1390 9566 204
e 6154 8273 204
e 1226 4281 206
e 513 4929 206
e 7072 9144 209
e 302 9991 210
e 6401 7675 210
e 924 1599 211
e 3899 4219 212
e 3400 7697 213
e 2001 5302 215
e 790 6828 215
e 1701 7560 217
e 5057 8413 217
e 2524 7302 217
e 9060 9703 218
e 503 3156 220
e 5896 8484 221
e 81 318 222
e 1738 2555 223
e 6452 7812 224
e 7154 8624 225
e 5462 7658 225
e 7 103 225
e 2576 3447 227
e 1016 6457 230
e 7641 7965 231
e 811 1256 231
e 1751 5470 232
e 962 7352 232
e 3787 5031 232
e 9052 9968 232
e 535 892 232
e 4598 6462 234
e 1173 9422 234
e 8263 9391 234
e 2306 4862 235
e 7287 7531 236
e 114 6772 237
e 2914 6973 237
e 4541 6055 237
e 1598 7288 240
e 8991 9151 242
e 1966 3846 243
e 8092 8601 243
e 7202 9791 244
e 2248 3635 246
e 6694 9338 248
e 1885 5513 248
e 148 2511 249
e 1502 6377 249
e 264 279 250
e 554 4970 251
e 3382 6872 251
e 2222 9938 252
e 7236 9235 252
e 7474 7843 252
e 1541 8292 252
e 7557 9608 253
e 4618 8356 253
e 2065 8619 254
e 1737 9662 255
e 719 4508 256
e 1568 3391 258
e 4628 4843 258
e 2720 7188 259
e 4232 4285 259
e 1859 5469 259
e 134 640 259
e 5002 6652 260
e 661 7851 260
e 6866 8179 261
e 1861 2552 261
e 4853 9403 262
e 5743 7758 262
e 2257 5271 263
e 1318 3207 264
e 2827 6412 264
e 101 6072 265
e 337 746 265
e 6671 8860 265
e 265 856 266
e 2299 4509 266
e 4319 8661 267
e 669 1670 268
e 271 582 269
e 8071 9465 269
e 4016 6230 269
e 1846 2797 271
e 2955 9347 272
e 5050 8365 273
e 1066 8690 277
e 724 1772 279
e 739 3622 281
e 114 421 282
e 6159 9756 282
e 745 5321 282
e 1221 3630 282
e 4311 6925 282
e 4331 8728 282
e 3050 6067 283
e 4484 5877 283
e 6206 6740 284
e 5655 7174 284
e 6417 7169 284
e 4115 8073 285
e 3806 9300 288
e 3238 4672 288
e 972 7479 289
e 5871 7726 290
e 6916 7746 290
e 26 89 291
e 2555 6440 292
e 1284 1410 293
e 467 492 293
e 15 1912 293
e 1310 2554 294
e 3890 7671 295
e 3616 5246 296
e 344 1700 297
e 4244 5377 297
e 2187 4063 297
e 8932 9848 298
e 372 8491 298
e 81 9826 300
e 220 1059 301
e 648 1705 301
e 3971 6182 302
e 8270 9751 303
e 1982 3738 303
e 2961 3923 303
e 3987 9828 304
e 3214 9943 304
e 5022 9997 305
e 4819 8196 308
e 758 1518 309
e 7171 7861 309
e 4903 6928 310
e 2269 4128 310
e 8606 8864 311
e 2701 9838 311
e 2511 6722 312
e 3547 6451 313
e 1843 1913 313
e 2044 7271 314
e 1060 3726 315
e 6606 6887 315
e 3477 6777 316
e 27 217 317
e 386 4315 318
e 2447 3922 322
e 935 1064 322
e 1632 6594 322
e 6908 7692 323
e 773 890 325
e 5633 7067 325
e 5 574 326
e 3747 9419 327
e 795 4598 328
e 2073 8679 329
e 1020 3991 330
e 1783 2856 331
e 2756 7847 331
e 1134 4689 333
e 2558 3328 333
e 1695 4832 333
e 2311 6346 334
e 3034 3671 334
e 3074 8139 334
e 1501 1509 336
e 6676 8256 336
e 1772 4183 336
e 1292 2668 338
e 9634 9879 338
e 2908 6742 340
e 2204 2386 340
e 7868 9900 340
e 2196 9396 340
e 1143 4574 343
e 815 5393 343
e 736 6245 344
e 2062 7701 345
e 3857 6449 345
e 1629 3049 346
e 5923 7612 348
e 5218 7322 348
e 5171 8671 349
e 1168 7096 350
e 637 770 350
e 4568 7079 351
e 658 4170 352
e 2872 9924 352
e 3670 6306 353
e 840 3560 355
e 4465 9391 355
e 7460 7523 358
e 4192 9154 358
e 7838 8528 358
e 5176 5201 360
e 2549 6600 360
e 1955 5048 363
e 2238 5076 364
e 2780 9642 365
e 654 7297 366
e 1295 6988 368
e 3176 3215 369
e 2042 6300 369
e 2258 6869 372
e 2459 7171 372
e 4633 9213 372
e 2815 2882 373
e 247 8119 374
e 5822 6309 374
e 706 4569 375
e 2456 6360 377
e 44 4855 379
e 928 3416 379
e 238 6421 380
e 5853 7280 381
e 2437 7099 381
e 1492 7947 381
e 3009 6628 383
e 4356 6283 384
e 3203 8852 384
e 2958 8691 385
e 2828 4399 385
e 6836 8340 386
e 589 2462 389
e 641 7321 389
e 689 9222 390
e 599 910 390
e 4360 4849 390
e 1349 8613 391
e 1593 9996 393
e 240 1435 393
e 44 1182 393
e 2509 2630 394
e 951 2108 394
e 1184 3373 394
e 617 6468 394
e 4139 8291 395
e 6157 7452 396
e 31 248 396
e 1231 1384 397
e 7560 9172 397
e 2572 9190 399
e 7206 7559 399
e 135 6692 402
e 878 3260 402
e 1368 1921 403
e 6830 7847 403
e 61 3034 404
e 1141 2814 404
e 1518 1939 407
e 403 7159 408
e 3557 7779 410
e 806 3709 411
e 1631 9638 411
e 4906 9270 411
e 51 285 411
e 281 2589 413
e 1150 9690 413
e 3070 7353 413
e 755 3715 414
e 1153 6298 414
e 4565 5299 416
e 2814 7287 416
e 1441 9149 418
e 180 7620 418
e 3076 9541 419
e 1998 7288 420
e 1846 7398 420
e 695 2977 421
e 5240 9622 421
e 1887 4703 423
e 1434 4558 424
e 9798 9856 424
e 2365 2506 424
e 491 1569 426
e 5963 8441 427
e 913 4200 432
e 2588 9848 432
e 2777 8922 432
e 734 8898 433
e 5902 6388 433
e 1692 3010 434
e 6803 7449 435
e 2655 9292 438
e 1364 1406 439
e 7241 7346 439
e 6338 8510 439
e 944 3301 440
e 294 5270 440
e 697 7110 440
e 2046 5063 440
e 179 9400 442
e 2123 5363 442
e 4874 8665 443
e 1 5314 446
e 106 5118 447
e 1323 3562 449
e 887 1795 450
e 8609 9285 450
e 1237 7220 450
e 3484 8151 451
e 333 557 451
e 1834 6694 453
e 5389 6619 454
e 5506 8272 454
e 807 7077 455
e 2814 3137 455
e 8085 9135 456
e 4225 9270 456
e 3355 4659 456
e 6010 8710 456
e 3750 8320 456
e 3862 6700 457
e 2554 9218 458
e 7591 9300 458
e 2125 8218 458
e 2677 5900 459
e 5207 6044 461
e 1162 1361 461
e 1715 2017 461
e 354 2300 461
e 3868 5308 461
e 1323 5348 462
e 4433 4782 464
e 2682 7452 465
e 3484 8402 466
e 83 5023 467
e 1089 3947 468
e 2888 6557 471
e 5551 6746 471
e 6777 8451 471
e 1301 2346 472
e 563 2580 476
e 1794 2611 478
e 5812 8182 478
e 818 5288 478
e 291 5389 479
e 168 6285 481
e 2195 7504 481
e 2622 5050 481
e 673 766 482
e 446 6812 482
e 4308 4973 483
e 71 293 483
e 6131 9938 484
e 1878 5210 484
e 5222 7911 485
e 4943 7637 485
e 555 4972 486
e 6318 9174 487
e 614 2160 490
e 3127 6864 492
e 3686 9132 492
e 2194 8880 493
e 674 5564 493
e 210 9705 495
e 5125 5438 496
e 8459 9872 496
e 3376 7833 497
e 716 3212 497
e 411 3701 497
